date,order_id,product,category,region,quantity,unit_price,total_amount
2024-04-30,ORD-001174,Monitor,Electronics,North,3,725.98,2177.94
2024-05-01,ORD-001175,Laptop Stand,Accessories,East,2,87.1,174.2
2024-05-01,ORD-001176,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-05-01,ORD-001177,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-05-02,ORD-001178,Projector,Electronics,North,3,1161.58,3484.74
2024-05-02,ORD-001179,Smart Ring,Wearables,East,1,580.78,580.78
2024-05-03,ORD-001180,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-05-04,ORD-001181,Robot Vacuum,Smart Home,South,1,725.98,725.98
2024-05-05,ORD-001182,Webcam,Accessories,East,3,217.78,653.34
2024-05-05,ORD-001183,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-05-05,ORD-001184,Smart Watch,Wearables,North,2,653.38,1306.76
2024-05-06,ORD-001185,Soundbar,Audio,West,3,1161.58,3484.74
2024-05-06,ORD-001186,Webcam,Accessories,West,1,217.78,217.78
2024-05-06,ORD-001187,4K Smart TV,Electronics,North,3,1306.77,3920.31
2024-05-07,ORD-001188,Smart Display,Smart Home,East,3,435.58,1306.74
2024-05-07,ORD-001189,External SSD,Accessories,East,3,188.74,566.22
2024-05-07,ORD-001190,Projector,Electronics,West,1,1161.58,1161.58
2024-05-07,ORD-001191,Monitor,Electronics,East,3,725.98,2177.94
2024-05-08,ORD-001192,Gaming Mouse,Accessories,North,3,145.18,435.54
2024-05-08,ORD-001193,Smart Display,Smart Home,West,3,435.58,1306.74
2024-05-13,ORD-001194,Gaming PC,Electronics,North,1,2613.56,2613.56
2024-05-14,ORD-001195,Smart Ring,Wearables,North,1,580.78,580.78
2024-05-14,ORD-001196,Bluetooth Speaker,Audio,West,1,290.38,290.38
2024-05-14,ORD-001197,Smart Display,Smart Home,West,3,435.58,1306.74
2024-05-15,ORD-001198,Laptop Stand,Accessories,South,3,87.1,261.3
2024-05-15,ORD-001199,Security System,Smart Home,West,2,871.18,1742.36
2024-05-15,ORD-001200,Smart Watch,Wearables,East,3,653.38,1960.14
2024-05-15,ORD-001201,Studio Speakers,Audio,South,2,871.18,1742.36
2024-05-15,ORD-001202,Smart Watch,Wearables,East,3,653.38,1960.14
2024-05-15,ORD-001203,Laptop Stand,Accessories,North,2,87.1,174.2
2024-05-15,ORD-001204,Smart Display,Smart Home,North,1,435.58,435.58
2024-05-15,ORD-001205,Security System,Smart Home,South,3,871.18,2613.54
2024-05-16,ORD-001206,Mechanical Keyboard,Accessories,East,1,290.38,290.38
2024-05-16,ORD-001207,Soundbar,Audio,South,3,1161.58,3484.74
2024-05-16,ORD-001208,Monitor,Electronics,South,1,725.98,725.98
2024-05-17,ORD-001209,Wireless Earbuds,Audio,North,1,362.98,362.98
2024-05-18,ORD-001210,Fitness Tracker,Wearables,East,1,362.98,362.98
2024-05-19,ORD-001211,Noise-Canceling Headphones,Audio,North,3,508.18,1524.54
2024-05-20,ORD-001212,Noise-Canceling Headphones,Audio,South,2,508.18,1016.36
2024-05-21,ORD-001213,Webcam,Accessories,South,1,217.78,217.78
2024-05-22,ORD-001214,Smart Watch,Wearables,West,1,653.38,653.38
2024-05-22,ORD-001215,Mechanical Keyboard,Accessories,North,3,290.38,871.14
2024-05-22,ORD-001216,Smart Hub,Smart Home,North,2,290.38,580.76
2024-05-22,ORD-001217,Smart Thermostat,Smart Home,North,1,362.98,362.98
2024-05-22,ORD-001218,Webcam,Accessories,North,2,217.78,435.56
2024-05-24,ORD-001219,Tablet,Electronics,West,2,1016.38,2032.76
2024-05-25,ORD-001220,Tablet,Electronics,West,3,1016.38,3049.14
2024-05-26,ORD-001221,Laptop Pro,Electronics,South,2,1887.57,3775.14
2024-05-28,ORD-001222,Gaming PC,Electronics,East,2,2613.56,5227.12
2024-05-30,ORD-001223,Smart Thermostat,Smart Home,East,3,362.98,1088.94
2024-05-30,ORD-001224,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-05-31,ORD-001225,Projector,Electronics,South,1,1161.58,1161.58
2024-06-01,ORD-001226,Smart Hub,Smart Home,West,1,290.38,290.38
2024-06-02,ORD-001227,Smart Ring,Wearables,West,2,580.78,1161.56
2024-06-02,ORD-001228,4K Smart TV,Electronics,East,2,1306.77,2613.54
2024-06-03,ORD-001229,AR Glasses,Wearables,West,1,1451.97,1451.97
2024-06-05,ORD-001230,Laptop Pro,Electronics,North,1,1887.57,1887.57
2024-06-06,ORD-001231,Security System,Smart Home,East,3,871.18,2613.54
2024-06-06,ORD-001232,Bluetooth Speaker,Audio,East,1,290.38,290.38
2024-06-08,ORD-001233,Tablet,Electronics,West,2,1016.38,2032.76
2024-06-09,ORD-001234,4K Smart TV,Electronics,East,3,1306.77,3920.31
2024-06-09,ORD-001235,Smart Watch,Wearables,South,3,653.38,1960.14
2024-06-10,ORD-001236,Studio Speakers,Audio,North,1,871.18,871.18
2024-06-10,ORD-001237,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-06-10,ORD-001238,Gaming Mouse,Accessories,North,2,145.18,290.36
2024-06-10,ORD-001239,Laptop Stand,Accessories,East,3,87.1,261.3
2024-06-14,ORD-001240,Gaming PC,Electronics,East,2,2613.56,5227.12
2024-06-15,ORD-001241,AR Glasses,Wearables,South,1,1451.97,1451.97
2024-06-18,ORD-001242,Bluetooth Speaker,Audio,West,3,290.38,871.14
2024-06-19,ORD-001243,Gaming PC,Electronics,North,3,2613.56,7840.68
2024-06-19,ORD-001244,Projector,Electronics,South,3,1161.58,3484.74
2024-06-21,ORD-001245,Smart Hub,Smart Home,East,2,290.38,580.76
2024-06-22,ORD-001246,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-06-22,ORD-001247,USB-C Hub,Accessories,North,1,116.14,116.14
2024-06-23,ORD-001248,Soundbar,Audio,North,3,1161.58,3484.74
2024-06-23,ORD-001249,4K Smart TV,Electronics,West,2,1306.77,2613.54
2024-06-24,ORD-001250,Smart Thermostat,Smart Home,West,2,362.98,725.96
2024-06-25,ORD-001251,Fitness Tracker,Wearables,North,3,362.98,1088.94
2024-06-27,ORD-001252,Smart Ring,Wearables,East,1,580.78,580.78
2024-06-28,ORD-001253,External SSD,Accessories,East,3,188.74,566.22
2024-06-30,ORD-001254,Gaming PC,Electronics,North,2,2613.56,5227.12
2024-06-30,ORD-001255,Gaming PC,Electronics,South,2,2613.56,5227.12
2024-06-30,ORD-001256,Wireless Earbuds,Audio,East,2,362.98,725.96
2024-07-02,ORD-001257,Laptop Pro,Electronics,West,2,1887.57,3775.14
2024-07-02,ORD-001258,Soundbar,Audio,South,2,1161.58,2323.16
2024-07-04,ORD-001259,USB-C Hub,Accessories,East,3,116.14,348.42
2024-07-04,ORD-001260,Tablet,Electronics,North,3,1016.38,3049.14
2024-07-04,ORD-001261,Security System,Smart Home,North,2,871.18,1742.36
2024-07-05,ORD-001262,Smart Ring,Wearables,West,3,580.78,1742.34
2024-07-05,ORD-001263,Smart Display,Smart Home,West,1,435.58,435.58
2024-07-08,ORD-001264,4K Smart TV,Electronics,West,1,1306.77,1306.77
2024-07-08,ORD-001265,Smart Watch,Wearables,North,2,653.38,1306.76
2024-07-08,ORD-001266,Studio Speakers,Audio,West,3,871.18,2613.54
2024-07-10,ORD-001267,Mechanical Keyboard,Accessories,East,2,290.38,580.76
2024-07-10,ORD-001268,Fitness Tracker,Wearables,South,2,362.98,725.96
2024-07-12,ORD-001269,Monitor,Electronics,North,3,725.98,2177.94
2024-07-13,ORD-001270,USB-C Hub,Accessories,East,1,116.14,116.14
2024-07-13,ORD-001271,Fitness Tracker,Wearables,North,1,362.98,362.98
2024-07-13,ORD-001272,Wireless Earbuds,Audio,South,1,362.98,362.98
2024-07-13,ORD-001273,Gaming Mouse,Accessories,North,3,145.18,435.54
2024-07-14,ORD-001274,Studio Speakers,Audio,West,2,871.18,1742.36
2024-07-14,ORD-001275,Laptop Stand,Accessories,East,3,87.1,261.3
2024-07-16,ORD-001276,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-07-18,ORD-001277,Smart Hub,Smart Home,East,3,290.38,871.14
2024-07-21,ORD-001278,Smart Watch,Wearables,North,2,653.38,1306.76
2024-07-21,ORD-001279,Smart Ring,Wearables,North,2,580.78,1161.56
2024-07-23,ORD-001280,4K Smart TV,Electronics,North,2,1306.77,2613.54
2024-07-23,ORD-001281,Monitor,Electronics,West,3,725.98,2177.94
2024-07-24,ORD-001282,Smart Thermostat,Smart Home,North,3,362.98,1088.94
2024-07-24,ORD-001283,Smart Thermostat,Smart Home,South,3,362.98,1088.94
2024-07-25,ORD-001284,Smart Ring,Wearables,South,3,580.78,1742.34
2024-07-25,ORD-001285,Tablet,Electronics,East,1,1016.38,1016.38
2024-07-27,ORD-001286,Monitor,Electronics,South,3,725.98,2177.94
2024-07-27,ORD-001287,Gaming PC,Electronics,West,3,2613.56,7840.68
2024-07-27,ORD-001288,Smart Thermostat,Smart Home,South,3,362.98,1088.94
2024-07-29,ORD-001289,AR Glasses,Wearables,West,2,1451.97,2903.94
2024-07-29,ORD-001290,Smart Display,Smart Home,North,3,435.58,1306.74
2024-07-30,ORD-001291,Smart Watch,Wearables,North,2,653.38,1306.76
2024-08-02,ORD-001292,Laptop Stand,Accessories,East,2,87.1,174.2
2024-08-02,ORD-001293,Fitness Tracker,Wearables,North,2,362.98,725.96
2024-08-04,ORD-001294,Laptop Stand,Accessories,East,1,87.1,87.1
2024-08-04,ORD-001295,Smart Ring,Wearables,North,1,580.78,580.78
2024-08-04,ORD-001296,Smart Ring,Wearables,East,3,580.78,1742.34
2024-08-04,ORD-001297,Bluetooth Speaker,Audio,West,1,290.38,290.38
2024-08-04,ORD-001298,Webcam,Accessories,East,1,217.78,217.78
2024-08-04,ORD-001299,Fitness Tracker,Wearables,East,1,362.98,362.98
2024-08-04,ORD-001300,Robot Vacuum,Smart Home,South,1,725.98,725.98
2024-08-04,ORD-001301,Noise-Canceling Headphones,Audio,North,2,508.18,1016.36
2024-08-06,ORD-001302,USB-C Hub,Accessories,North,3,116.14,348.42
2024-08-07,ORD-001303,Fitness Tracker,Wearables,West,3,362.98,1088.94
2024-08-08,ORD-001304,Soundbar,Audio,South,1,1161.58,1161.58
2024-08-08,ORD-001305,Security System,Smart Home,East,2,871.18,1742.36
2024-08-10,ORD-001306,Studio Speakers,Audio,East,3,871.18,2613.54
2024-08-12,ORD-001307,Robot Vacuum,Smart Home,South,3,725.98,2177.94
2024-08-12,ORD-001308,Smart Ring,Wearables,East,1,580.78,580.78
2024-08-14,ORD-001309,External SSD,Accessories,East,2,188.74,377.48
2024-08-14,ORD-001310,Smart Thermostat,Smart Home,West,3,362.98,1088.94
2024-08-17,ORD-001311,Soundbar,Audio,South,3,1161.58,3484.74
2024-08-17,ORD-001312,Smart Watch,Wearables,West,3,653.38,1960.14
2024-08-19,ORD-001313,Smart Watch,Wearables,North,3,653.38,1960.14
2024-08-20,ORD-001314,Smart Watch,Wearables,East,1,653.38,653.38
2024-08-20,ORD-001315,Smart Thermostat,Smart Home,West,1,362.98,362.98
2024-08-20,ORD-001316,Gaming PC,Electronics,East,2,2613.56,5227.12
2024-08-22,ORD-001317,Tablet,Electronics,West,1,1016.38,1016.38
2024-08-22,ORD-001318,Webcam,Accessories,West,1,217.78,217.78
2024-08-22,ORD-001319,4K Smart TV,Electronics,North,1,1306.77,1306.77
2024-08-23,ORD-001320,Smart Watch,Wearables,East,3,653.38,1960.14
2024-08-23,ORD-001321,Soundbar,Audio,East,1,1161.58,1161.58
2024-08-24,ORD-001322,Robot Vacuum,Smart Home,West,3,725.98,2177.94
2024-08-24,ORD-001323,Smart Thermostat,Smart Home,North,1,362.98,362.98
2024-08-27,ORD-001324,4K Smart TV,Electronics,South,1,1306.77,1306.77
2024-08-27,ORD-001325,Laptop Stand,Accessories,West,3,87.1,261.3
2024-08-28,ORD-001326,4K Smart TV,Electronics,East,1,1306.77,1306.77
2024-08-30,ORD-001327,Laptop Pro,Electronics,West,1,1887.57,1887.57
2024-08-30,ORD-001328,External SSD,Accessories,North,1,188.74,188.74
2024-08-31,ORD-001329,Smart Thermostat,Smart Home,North,3,362.98,1088.94
2024-09-01,ORD-001330,USB-C Hub,Accessories,South,1,116.14,116.14
2024-09-03,ORD-001331,Smart Ring,Wearables,East,1,580.78,580.78
2024-09-05,ORD-001332,Bluetooth Speaker,Audio,South,2,290.38,580.76
2024-09-05,ORD-001333,Monitor,Electronics,North,2,725.98,1451.96
2024-09-05,ORD-001334,USB-C Hub,Accessories,North,3,116.14,348.42
2024-09-06,ORD-001335,Smart Hub,Smart Home,West,1,290.38,290.38
2024-09-07,ORD-001336,AR Glasses,Wearables,North,3,1451.97,4355.91
2024-09-07,ORD-001337,Smart Watch,Wearables,South,2,653.38,1306.76
2024-09-09,ORD-001338,Monitor,Electronics,East,3,725.98,2177.94
2024-09-12,ORD-001339,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-09-13,ORD-001340,Studio Speakers,Audio,West,3,871.18,2613.54
2024-09-14,ORD-001341,Soundbar,Audio,West,1,1161.58,1161.58
2024-09-15,ORD-001342,4K Smart TV,Electronics,North,1,1306.77,1306.77
2024-09-15,ORD-001343,Noise-Canceling Headphones,Audio,East,2,508.18,1016.36
2024-09-16,ORD-001344,External SSD,Accessories,West,3,188.74,566.22
2024-09-16,ORD-001345,Smart Watch,Wearables,South,3,653.38,1960.14
2024-09-16,ORD-001346,AR Glasses,Wearables,East,1,1451.97,1451.97
2024-09-17,ORD-001347,Smart Watch,Wearables,West,2,653.38,1306.76
2024-09-17,ORD-001348,Smart Hub,Smart Home,East,2,290.38,580.76
2024-09-20,ORD-001349,Studio Speakers,Audio,West,3,871.18,2613.54
2024-09-21,ORD-001350,AR Glasses,Wearables,West,1,1451.97,1451.97
2024-09-24,ORD-001351,Tablet,Electronics,South,3,1016.38,3049.14
2024-09-27,ORD-001352,Webcam,Accessories,North,2,217.78,435.56
2024-09-27,ORD-001353,4K Smart TV,Electronics,East,3,1306.77,3920.31
2024-09-27,ORD-001354,Smart Ring,Wearables,West,3,580.78,1742.34
2024-09-28,ORD-001355,Studio Speakers,Audio,West,2,871.18,1742.36
